Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,12-04-2016,13162.00,8.5,8.5,0,1.879999995,0.550000012,6.059999943,0,25.00:00:00,13.00:00:00,23.00:00:00,28.00:00:00,1985
1503960366,13-04-2016,10735.00,6.96999979,6.96999979,0,1.570000052,0.689999998,4.710000038,0,21.00:00:00,19.00:00:00,4.00:00:00,14.00:00:00,1797
1503960366,14-04-2016,10460.00,6.739999771,6.739999771,0,2.440000057,0.400000006,3.910000086,0,30.00:00:00,11.00:00:00,29.00:00:00,2.00:00:00,1776
1503960366,15-04-2016,9762.00,6.28000021,6.28000021,0,2.140000105,1.25999999,2.829999924,0,29.00:00:00,3.00:00:00,27.00:00:00,26.00:00:00,1745
1503960366,16-04-2016,12669.00,8.159999847,8.159999847,0,2.710000038,0.409999996,5.039999962,0,5.00:00:00,10.00:00:00,8.00:00:00,11.00:00:00,1863
1503960366,17-04-2016,9705.00,6.480000019,6.480000019,0,3.190000057,0.779999971,2.50999999,0,7.00:00:00,20.00:00:00,12.00:00:00,22.00:00:00,1728
1503960366,18-04-2016,13019.00,8.590000153,8.590000153,0,3.25,0.639999986,4.710000038,0,11.00:00:00,16.00:00:00,20.00:00:00,22.00:00:00,1921
1503960366,19-04-2016,15506.00,9.880000114,9.880000114,0,3.529999971,1.320000052,5.03000021,0,19.00:00:00,31.00:00:00,20.00:00:00,13.00:00:00,2035
1503960366,20-04-2016,10544.00,6.679999828,6.679999828,0,1.960000038,0.479999989,4.239999771,0,28.00:00:00,12.00:00:00,23.00:00:00,28.00:00:00,1786
1503960366,21-04-2016,9819.00,6.340000153,6.340000153,0,1.340000033,0.349999994,4.650000095,0,19.00:00:00,8.00:00:00,29.00:00:00,17.00:00:00,1775
1503960366,22-04-2016,12764.00,8.130000114,8.130000114,0,4.760000229,1.120000005,2.24000001,0,6.00:00:00,27.00:00:00,9.00:00:00,1.00:00:00,1827
1503960366,23-04-2016,14371.00,9.039999962,9.039999962,0,2.809999943,0.870000005,5.360000134,0,10.00:00:00,21.00:00:00,18.00:00:00,1.00:00:00,1949
1503960366,24-04-2016,10039.00,6.409999847,6.409999847,0,2.920000076,0.209999993,3.279999971,0,8.00:00:00,5.00:00:00,25.00:00:00,9.00:00:00,1788
1503960366,25-04-2016,15355.00,9.800000191,9.800000191,0,5.289999962,0.569999993,3.940000057,0,13.00:00:00,14.00:00:00,3.00:00:00,24.00:00:00,2013
1503960366,26-04-2016,13755.00,8.789999962,8.789999962,0,2.329999924,0.920000017,5.539999962,0,31.00:00:00,23.00:00:00,5.00:00:00,12.00:00:00,1970
1503960366,27-04-2016,18134.00,12.21000004,12.21000004,0,6.400000095,0.409999996,5.409999847,0,18.00:00:00,11.00:00:00,30.00:00:00,12.00:00:00,2159
1503960366,28-04-2016,13154.00,8.529999733,8.529999733,0,3.539999962,1.159999967,3.789999962,0,17.00:00:00,28.00:00:00,7.00:00:00,20.00:00:00,1898
1503960366,29-04-2016,11181.00,7.150000095,7.150000095,0,1.059999943,0.5,5.579999924,0,16.00:00:00,12.00:00:00,30.00:00:00,25.00:00:00,1837
1503960366,30-04-2016,14673.00,9.25,9.25,0,3.559999943,1.419999957,4.269999981,0,21.00:00:00,3.00:00:00,4.00:00:00,12.00:00:00,1947
1503960366,01-05-2016,10602.00,6.809999943,6.809999943,0,2.289999962,1.600000024,2.920000076,0,2.00:00:00,4.00:00:00,2.00:00:00,30.00:00:00,1820
1503960366,02-05-2016,14727.00,9.710000038,9.710000038,0,3.210000038,0.569999993,5.920000076,0,10.00:00:00,15.00:00:00,3.00:00:00,8.00:00:00,2004
1503960366,03-05-2016,15103.00,9.659999847,9.659999847,0,3.730000019,1.049999952,4.880000114,0,19.00:00:00,24.00:00:00,10.00:00:00,26.00:00:00,1990
1503960366,04-05-2016,11100.00,7.150000095,7.150000095,0,2.460000038,0.870000005,3.819999933,0,5.00:00:00,22.00:00:00,21.00:00:00,24.00:00:00,1819
1503960366,05-05-2016,14070.00,8.899999619,8.899999619,0,2.920000076,1.080000043,4.880000114,0,14.00:00:00,24.00:00:00,6.00:00:00,6.00:00:00,1959
1503960366,06-05-2016,12159.00,8.029999733,8.029999733,0,1.970000029,0.25,5.809999943,0,24.00:00:00,6.00:00:00,15.00:00:00,23.00:00:00,1896
1503960366,07-05-2016,11992.00,7.710000038,7.710000038,0,2.460000038,2.119999886,3.130000114,0,6.00:00:00,15.00:00:00,23.00:00:00,12.00:00:00,1821
1503960366,08-05-2016,10060.00,6.579999924,6.579999924,0,3.529999971,0.319999993,2.730000019,0,13.00:00:00,8.00:00:00,21.00:00:00,27.00:00:00,1740
1503960366,09-05-2016,12022.00,7.71999979,7.71999979,0,3.450000048,0.529999971,3.74000001,0,15.00:00:00,11.00:00:00,24.00:00:00,14.00:00:00,1819
1503960366,10-05-2016,12207.00,7.769999981,7.769999981,0,3.349999905,1.159999967,3.25999999,0,15.00:00:00,31.00:00:00,1.00:00:00,15.00:00:00,1859
1503960366,11-05-2016,12770.00,8.130000114,8.130000114,0,2.559999943,1.00999999,4.550000191,0,5.00:00:00,23.00:00:00,7.00:00:00,30.00:00:00,1783
1503960366,12-05-2016,0.00,0,0,0,0,0,0,0,0.00:00:00,0.00:00:00,0.00:00:00,10.00:00:00,0
1624580081,12-04-2016,8163.00,5.309999943,5.309999943,0,0,0,5.309999943,0,0.00:00:00,0.00:00:00,25.00:00:00,17.00:00:00,1432
1624580081,13-04-2016,7007.00,4.550000191,4.550000191,0,0,0,4.550000191,0,0.00:00:00,0.00:00:00,27.00:00:00,15.00:00:00,1411
1624580081,14-04-2016,9107.00,5.920000076,5.920000076,0,0,0,5.909999847,0.01,0.00:00:00,0.00:00:00,23.00:00:00,18.00:00:00,1572
